V1,V2,V3,V4,V5,V6,V7,Class
3,2,144559,144539,56667,160966,82645,4
4,2,51222,51214,160730,100498,94249,3
4,3,67149,67136,82926,108194,127827,3
4,3,61495,61484,73427,21282,133834,7
5,1,42820,42812,24564,57805,5637,5
3,2,157769,157745,19815,36254,53395,6
2,1,103831,103815,149429,33964,89302,9
2,3,90229,90215,27072,157257,101000,4
4,1,64862,64849,59282,74344,40811,3
4,4,72054,72040,65488,74366,160857,3
3,1,139879,139859,348,162402,163680,7
5,3,24802,24798,18331,127218,32390,4
2,3,79868,79854,80171,35805,129674,7
1,2,113524,113506,55823,138753,111822,4
3,3,134368,134348,152473,22803,89545,4
1,1,110035,110017,134484,130764,46298,2
5,4,15276,15274,108574,72983,134947,2
5,2,15707,15705,52650,153161,111533,4
5,4,26847,26843,84434,145547,147747,7
1,3,121679,121661,24834,152924,90144,4
5,3,9544,9543,68156,156112,117500,7
4,4,64890,64877,158958,44335,31031,1
4,3,65549,65536,31622,117155,55683,5
3,1,144240,144220,119624,110497,36933,2
5,4,19236,19233,126776,117085,161456,3
5,4,39954,39946,86655,105862,159379,3
4,4,66514,66501,153382,54765,14872,4
5,2,11974,11973,58347,128007,94958,4
5,2,20367,20363,42578,111257,60389,10
5,1,31058,31052,95462,113727,41841,3
5,3,5538,5538,104966,92339,118910,3
4,4,71525,71511,5844,156075,65624,4
2,1,100992,100976,95616,96810,57608,4
1,3,125810,125790,80909,66886,141902,7
5,1,19653,19649,58401,159599,79189,4
1,2,120797,120779,144252,29848,116797,9
4,4,70599,70585,162744,26654,7787,4
5,4,24470,24466,7555,158762,73674,4
3,1,161564,161539,82912,81274,94470,4
2,4,82129,82115,19974,75518,160158,3
3,4,164643,164618,38877,81883,88248,10
2,2,92282,92267,151179,4536,31801,9
2,1,104619,104603,67265,146992,65463,4
4,1,49580,49572,88761,149594,32560,5
4,2,49592,49584,75854,143014,127315,5
4,4,68497,68484,10554,152318,74801,4
1,1,118081,118063,108131,61271,84574,4
3,2,155383,155359,42322,63461,20910,3
5,3,5164,5164,129043,10740,102314,10
1,4,124724,124706,14628,156812,126248,10
5,4,10813,10812,162927,28515,51067,4
3,2,138459,138439,54657,158638,44373,10
3,4,157585,157561,41696,114193,143027,10
2,4,78664,78650,161611,30925,2611,4
4,3,51259,51251,72739,94002,134576,3
5,1,27662,27658,89692,85684,93580,1
3,3,143905,143885,114842,52362,133200,9
5,2,9722,9721,101188,113126,641,7
1,3,118310,118292,153602,12581,91077,4
2,2,96072,96057,53357,145776,110895,4
4,2,60887,60876,70876,105632,29946,4
5,1,8289,8288,58204,105396,14470,3
1,2,119055,119037,60210,156706,125565,4
3,4,164847,164822,134676,138562,161435,3
3,1,154992,154968,115040,10279,96176,4
2,4,89996,89982,11762,158747,92431,4
1,1,118448,118430,105783,11363,104387,10
5,2,31878,31872,114621,57460,120090,7
5,4,18824,18821,161935,74948,27453,4
4,3,49482,49474,98826,112677,141403,3
1,2,123951,123933,126895,15877,84954,4
5,1,592,592,108598,109187,14287,7
2,3,92893,92878,17778,157427,114859,4
2,1,90266,90252,84328,160935,58291,4
5,3,14686,14684,94815,49874,127035,7
2,3,76286,76272,99468,154628,138586,7
4,1,60986,60975,73631,12377,33268,4
1,2,122255,122237,4680,35691,471,4
3,2,143199,143179,115187,58757,99866,7
5,4,8090,8089,10843,157051,98475,10
4,4,56523,56512,5070,147259,62902,4
4,3,70602,70588,154425,31954,51072,4
4,2,44426,44418,78299,131999,62380,7
2,1,94455,94440,37588,12486,3225,7
5,4,18956,18953,160540,60004,124000,4
2,4,98414,98398,14194,142196,124549,5
3,4,162118,162093,116152,38389,159277,3
3,3,160506,160481,24601,150826,55022,4
4,4,48247,48239,69269,22773,150959,7
3,3,146183,146162,26309,40205,90762,7
5,1,11851,11850,69029,162195,98407,4
5,3,5447,5447,89118,102238,130194,3
2,2,89618,89604,100051,78612,100500,10
1,2,132780,132760,8778,60986,7679,6
1,2,113572,113554,54269,140206,98005,4
1,4,120176,120158,81452,12715,145551,7
3,1,141480,141460,73188,155583,105740,4
4,1,46016,46008,74385,145697,92603,4
1,4,115366,115348,98128,39327,116673,9
5,2,17114,17111,94822,124031,4333,3
5,2,26688,26684,111773,108767,16154,7
4,4,55721,55713,137807,4559,15847,9
1,2,117201,117183,44925,88492,38593,10
2,4,77871,77857,10076,153799,35883,4
1,4,106535,106518,161661,10756,98606,4
1,4,119687,119669,159770,23855,49637,4
1,1,111406,111388,52271,95515,43483,4
3,2,154484,154461,44230,110515,66302,3
5,1,34741,34735,48285,58701,37794,3
5,3,26190,26186,100451,131467,141652,3
5,2,7258,7257,154056,71333,32380,2
4,3,60176,60165,32805,116645,59,10
1,2,124143,124125,106340,107953,18260,3
4,4,69654,69640,111458,125271,163398,3
1,3,131819,131799,117126,27659,105180,2
3,3,161793,161768,117916,72766,82901,10
3,2,160073,160048,161839,130650,81574,3
5,4,37272,37264,23796,143268,98191,5
3,2,137822,137802,135172,112711,52419,2
1,2,129980,129960,38851,117491,80636,10
1,1,115200,115182,121429,85669,27318,7
4,3,47196,47188,142194,26198,96000,4
2,1,77648,77634,80704,152409,97439,4
2,3,79524,79510,79261,37359,142497,7
5,4,7138,7137,138715,42663,146870,9
5,3,8115,8114,13807,156777,38467,10
5,1,29330,29326,68892,128819,111086,4
1,3,107868,107850,16223,156315,69053,10
2,1,76969,76955,106859,7263,112885,4
5,2,28681,28677,44528,109467,42430,5
5,3,32248,32242,89374,30541,105944,9
3,4,143446,143426,79420,82117,155241,7
3,3,133888,133868,96774,147906,142415,7
2,1,78630,78616,120541,32566,7474,1
4,1,65342,65329,139367,150888,112814,10
1,3,126840,126820,39710,134874,7626,5
5,3,18227,18224,61762,96592,137799,3
2,1,79063,79049,133579,78146,62871,4
3,4,138409,138389,11767,147323,70694,4
5,3,4346,4346,162361,31411,134737,4
3,3,162031,162006,65123,109914,133255,3
2,4,79064,79050,160404,45116,87354,4
3,1,153520,153497,76507,63037,13549,10
1,1,112393,112375,58570,56063,52644,3
4,3,51365,51357,7903,66021,152329,3
4,3,74200,74186,68232,130302,141165,3
3,4,144149,144129,103598,62832,143951,9
5,3,7355,7354,142144,114420,139845,3
4,3,49615,49607,134252,133644,156581,4
1,2,121078,121060,142115,22535,90419,9
2,1,90495,90481,44102,107683,5735,10
5,1,21894,21890,119873,93061,44647,3
1,1,126685,126665,141751,10298,106383,2
5,1,22450,22446,87576,25094,101246,7
5,3,21116,21112,152513,74932,57285,4
5,4,2908,2908,12854,149847,88746,5
5,4,22978,22974,57338,41671,139071,7
5,3,32802,32796,82611,147882,156023,3
5,3,34860,34854,1853,12766,144102,3
4,1,66866,66853,78068,65804,12233,10
5,3,13587,13586,87954,136398,147550,3
4,3,58751,58740,134229,72714,124138,4
4,1,45601,45593,109003,125564,74793,3
2,2,104760,104744,76285,134791,98860,4
3,2,155332,155308,95294,121656,4603,3
1,4,124977,124959,157052,11452,51778,4
2,3,82604,82590,48484,21969,73965,7
2,4,75999,75985,98783,149395,151393,7
5,2,26418,26414,48325,81282,59218,3
2,1,87035,87021,61095,128639,115893,4
2,1,82007,81993,17646,126426,69275,4
1,4,117604,117586,34315,94657,135428,7
2,3,87056,87042,20567,161990,103390,4
2,4,79929,79915,80889,56519,149619,7
3,1,139024,139004,5158,15004,28718,4
4,2,70307,70293,36520,59891,28416,7
5,2,16078,16075,53296,155260,93519,10
3,3,139737,139717,11023,78992,150562,3
3,1,160737,160712,64469,154718,77420,4
4,4,49851,49843,6937,150275,67636,4
4,4,69949,69935,11759,83919,148452,7
5,3,23739,23735,105778,88598,103640,9
3,4,154991,154967,159825,62927,75643,4
1,4,118997,118979,4618,127433,52639,4
4,1,55756,55748,78787,111942,37682,9
3,3,135901,135881,154348,68160,75151,4
3,3,147894,147873,18107,134073,92186,4
3,3,164827,164802,95284,111924,138843,3
1,4,110989,110971,15936,10046,2590,6
5,2,12311,12310,34887,102973,58621,3
5,3,33822,33816,38934,80548,153678,3
3,2,138290,138270,65390,161806,79736,4
3,2,146699,146678,29797,79306,15866,3
1,1,109972,109954,158140,26730,87803,9
4,3,50486,50478,9433,28342,94020,6
5,3,8987,8986,56395,98366,141656,3
2,1,96503,96488,133244,40258,67608,4
2,3,77638,77624,19298,151427,69113,4
4,3,55412,55404,77461,9642,129999,7
4,2,54824,54816,46912,93067,30091,3
4,3,60934,60923,138414,25887,31469,4
1,4,121660,121642,11827,148061,50314,4
5,1,13442,13441,139677,147591,10267,10
2,1,98696,98680,67488,153679,72499,4
3,4,158338,158314,104210,104991,161371,3
1,2,114968,114950,105726,45266,110914,7
5,2,23225,23221,125035,64502,66220,7
2,3,100121,100105,82876,152503,134649,7
1,1,113211,113193,50772,118914,112930,5
4,1,46205,46197,79381,149883,74856,4
5,4,33243,33237,16713,144520,40230,4
1,1,122371,122353,10966,74847,21508,4
2,2,87943,87929,7712,78494,34799,6
3,2,153019,152996,125209,35494,20021,4
4,2,47332,47324,79916,18418,13884,4
3,4,163479,163454,9331,144545,63325,4
5,4,31915,31909,65484,74356,140817,7
5,1,15764,15762,59830,157041,57779,4
5,4,40674,40666,111591,16765,149418,7
5,2,9356,9355,45452,97776,41314,3
5,2,8523,8522,63651,116062,65282,5
5,2,14923,14921,142263,48430,55743,9
5,1,29317,29313,65906,140648,139097,4
4,2,69496,69482,48736,66341,58471,3
2,2,85462,85448,137203,133968,89504,10
3,1,155661,155637,105655,34098,85978,7
4,4,63697,63684,117731,973,29104,4
5,2,3586,3586,69501,131022,96120,10
5,4,43445,43437,19203,93639,98543,10
5,4,5389,5389,106279,100321,160217,3
2,1,94849,94834,111206,7274,101727,4
2,1,91026,91012,129272,40046,108423,4
5,3,41082,41074,124815,99703,133234,9
2,3,76760,76746,158167,8085,151277,4
4,2,47183,47175,80877,2889,7848,4
4,4,47792,47784,53789,42181,162241,3
2,4,79017,79003,161100,46734,62844,4
4,3,69238,69224,61327,119713,19333,4
3,4,164841,164816,112364,129717,161783,3
3,1,158154,158130,19660,88927,3792,10
3,4,134384,134364,160057,66900,16471,4
2,4,79983,79969,76658,42389,148939,7
3,1,150450,150429,142940,118612,110642,2
4,3,68382,68369,21312,135503,70413,4
5,3,17740,17737,93481,150412,134791,7
5,1,24420,24416,73998,159324,79262,4
2,1,89216,89202,112593,10511,74891,4
4,3,71904,71890,13920,125357,84330,4
1,4,132723,132703,23740,124311,22482,6
4,2,54228,54220,85165,7930,1724,4
5,3,3316,3316,21855,159214,82516,4
5,2,12628,12627,140364,79370,71634,1
5,3,5309,5309,116412,95850,136251,3
2,4,92379,92364,123262,79961,134573,9
2,4,100886,100870,151047,63599,1896,4
2,1,77303,77289,139918,124605,32055,10
2,2,94129,94114,91802,49992,90257,3
3,2,146776,146755,108219,49135,97630,4
1,4,131821,131801,111831,60594,99588,2
3,3,135392,135372,22147,155494,44519,4
4,3,70465,70451,70240,67069,142983,1
4,1,67381,67368,108173,94638,39933,7
3,2,149444,149423,96664,85368,79166,8
2,1,96534,96519,131444,53430,65788,4
1,4,116845,116827,22073,79331,80082,6
2,2,91567,91553,102977,58630,61132,7
4,4,51422,51414,12137,75466,161782,3
2,1,78654,78640,131532,65648,103295,1
2,1,96433,96418,135159,42821,114692,4
5,1,23629,23625,141947,59996,54143,9
2,2,95327,95312,90981,12312,53290,10
3,4,157388,157364,9992,149870,28144,4
5,1,9936,9935,147547,114611,141022,7
5,1,22908,22904,88592,34876,116324,7
5,3,14087,14086,84645,76255,138802,7
3,3,133480,133460,92268,135557,134019,8
3,2,142193,142173,138077,34989,111480,4
4,2,60709,60698,70899,99019,16275,4
2,1,87917,87903,24796,26315,66515,6
2,1,95164,95149,110253,6614,83929,4
5,3,6607,6607,131468,45635,106813,9
5,2,27345,27341,99418,109681,10372,3
2,2,81236,81222,59008,125216,56410,4
2,3,102911,102895,145339,96529,75058,10
2,1,83623,83609,111612,50018,116151,4
5,3,2500,2500,75385,35851,35915,10
5,3,5676,5676,81078,62182,143789,7
1,4,112562,112544,161016,16735,46994,4
5,3,24088,24084,113208,70162,10092,2
3,1,163905,163880,66355,151051,1884,10
4,3,55153,55145,76946,11798,134353,7
5,1,22789,22785,98547,28783,103031,7
4,2,57178,57167,119897,86293,63179,4
5,1,24690,24686,74856,160812,80612,4
4,4,74844,74830,33000,102694,135122,10
5,1,41394,41386,123553,102981,43841,2
1,3,121472,121454,24183,152224,92329,4
5,1,12965,12964,132216,11891,11109,4
3,3,147734,147713,22837,146998,109023,4
2,4,103890,103874,118361,84272,141665,9
2,1,95994,95979,76361,160466,105706,4
1,1,114466,114448,101749,10765,67434,10
1,1,106125,106108,114605,110427,21730,7
2,3,99730,99714,85865,114116,144991,3
4,2,60080,60069,76482,144580,101558,4
5,3,17415,17412,156793,128014,150584,3
5,2,33599,33593,53376,121642,40943,10
4,2,65641,65628,57964,149669,82957,4
3,2,161480,161455,91496,42061,64771,4
2,4,85059,85045,162351,10658,128687,4
5,4,21291,21287,157870,24774,110888,4
4,1,55442,55434,107322,117834,12152,7
5,3,21712,21708,114913,47236,35991,10
2,1,88055,88041,16111,117918,10314,4
1,1,114056,114038,131611,67606,84282,4
4,3,57331,57320,39570,62863,38158,4
5,4,12226,12225,319,546,164113,10
5,1,15342,15340,127457,93111,28148,2
2,3,98275,98259,131323,42283,29590,2
4,1,60960,60949,67497,51261,13355,4
4,4,73957,73943,100456,22394,127564,9
3,4,158521,158496,92053,118823,159428,3
1,1,114275,114257,128624,77072,85372,4
2,4,103035,103019,92523,157150,158625,3
2,1,87076,87062,63837,131927,118665,4
5,3,29804,29800,64271,68566,124015,3
3,3,134522,134502,150329,95762,20596,4
5,1,8324,8323,77225,121481,76097,3
1,4,113343,113325,4597,158765,55944,4
5,4,28488,28484,97287,44679,156083,3
4,4,67492,67479,52406,33627,144234,7
5,4,41162,41154,87622,60898,120335,9
3,3,163151,163126,118037,53180,123141,2
1,3,123034,123016,46871,48427,78126,7
1,1,112724,112706,135136,60790,68374,4
4,1,63953,63940,103420,96096,13585,10
3,2,144807,144787,57214,160659,59190,4
1,2,128328,128308,69632,116596,18321,7
1,4,125080,125062,156636,10143,32627,4
3,1,134828,134808,115116,101591,54631,10
3,4,161803,161778,120476,7637,124976,10
2,1,92673,92658,117922,112655,4703,2
5,2,31864,31858,124249,23926,103878,7
2,1,103070,103054,91014,122903,3073,3
2,4,85668,85654,55990,83222,161263,3
2,4,79100,79086,161365,41319,35556,4
3,3,138544,138524,65706,143837,140099,10
2,4,93209,93194,12191,158473,86861,4
5,3,23098,23094,84481,29878,140386,7
3,3,145152,145132,16173,72312,14427,5
4,4,46874,46866,158234,33928,23223,4
3,4,155509,155485,55145,70322,159484,3
4,1,52501,52493,81478,71729,110691,4
4,4,67456,67443,54724,34419,141435,7
2,3,82236,82222,24399,87077,145267,3
3,2,146256,146235,31889,77200,22827,7
5,2,28830,28826,48162,149121,97606,5
1,3,132413,132393,22154,147131,115061,4
1,4,124930,124912,161029,11451,34750,4
2,1,76164,76150,120276,132274,72998,7
3,2,157054,157030,49398,150750,90529,4
2,1,94497,94482,34617,41590,85716,7
1,3,106141,106124,96261,149904,136490,7
1,2,114084,114066,136018,16986,106522,4
3,1,147585,147564,39505,112627,63971,5
3,3,144543,144523,26327,158323,63043,4
4,1,62439,62428,105967,130854,99622,10
2,1,78601,78587,102678,76790,45382,3
4,1,57229,57218,90195,87211,6794,4
2,4,78879,78865,160868,40791,65511,4
5,2,12828,12827,136020,35246,47927,4
1,4,132143,132123,9653,156462,60986,4
2,1,99469,99453,29949,63652,6263,4
5,3,23703,23699,104491,78850,117458,9
4,2,47137,47129,82823,2742,1266,4
5,4,1879,1879,163602,67474,57340,4
2,3,85078,85064,152579,4130,84357,4
4,1,52840,52832,122278,119161,16968,10
3,4,140929,140909,157078,38337,99995,10
4,2,52038,52030,86153,118259,22527,7
2,3,89769,89755,78143,119277,130040,3
4,1,65404,65391,141176,116664,78001,10
2,2,92894,92879,67438,127662,82828,4
4,1,67931,67918,101351,131232,77934,9
4,2,66117,66104,26749,93139,60277,10
5,4,29227,29223,7858,141192,41522,4
5,1,39170,39162,123927,51478,39019,4
3,3,152624,152601,23854,32029,112746,7
5,4,43102,43094,565,43800,35961,4
3,1,142276,142256,121623,70585,59595,4
2,2,79883,79869,100194,28032,64291,7
2,1,81946,81932,19211,140096,1193,4
3,1,163676,163651,79519,149349,48068,4
5,3,18068,18065,88006,133538,106195,7
2,2,103738,103722,143916,4794,103132,7
3,1,135783,135763,76761,22521,70491,3
3,2,162852,162827,131792,27005,32987,9
1,1,127698,127678,27141,2547,9409,4
2,3,81627,81613,2727,78022,28686,6
5,3,7173,7172,127588,26803,30298,2
4,4,67106,67093,50264,73902,159993,3
4,4,46391,46383,6110,127998,130523,10
2,1,100338,100322,96879,135288,104560,7
4,1,59992,59981,84460,150699,114578,4
3,4,161850,161825,111533,91651,89253,10
3,4,140335,140315,13591,15967,157629,3
4,1,50034,50026,79455,138466,121007,4
5,2,43074,43066,32688,77056,65861,4
3,3,153524,153501,64020,21103,97695,10
5,1,32033,32027,135197,32953,106001,7
4,3,63152,63139,16207,112460,36830,4
3,4,161431,161406,157576,83370,41783,4
2,3,90190,90176,29604,159656,96807,4
5,2,23330,23326,139261,16422,113416,7
2,1,89616,89602,89617,80386,43807,10
5,4,42183,42175,8490,153120,118547,4
5,4,5780,5780,63956,67249,151650,7
4,3,50686,50678,19530,29743,69693,6
1,3,129894,129874,18266,135592,65981,4
4,2,68329,68316,60390,146457,97348,4
1,4,115073,115055,72919,43451,151726,7
4,2,62455,62444,104524,131847,63283,10
1,1,124249,124231,53098,151092,84507,4
5,1,27208,27204,125301,116276,32896,11
5,2,18236,18233,58694,41187,39691,3
5,1,21483,21479,132507,100253,19412,4
2,2,84824,84810,117459,9406,33478,1
3,1,157060,157036,76199,144018,45054,4
1,1,112299,112281,88268,64275,6587,3
3,4,145177,145157,9161,9010,92222,6
3,4,152700,152677,21303,11182,140685,7
5,1,29272,29268,81669,160360,85625,4
4,2,58223,58212,48816,78537,25892,7
4,2,48694,48686,96303,116979,45015,9
3,3,158988,158963,84966,151093,133719,7
5,2,42437,42429,32184,107300,34691,10
5,1,842,842,91782,101828,58450,7
3,4,145030,145010,36306,108774,156673,3
1,4,126541,126521,107494,14960,119242,9
3,2,163711,163686,72003,145589,93826,4
3,4,157707,157683,38799,19329,112196,5
1,2,126448,126428,50850,3084,130206,9
4,2,58819,58808,72331,123785,6114,4
1,1,111675,111657,127838,132227,18553,3
5,3,7368,7367,140304,110986,138896,3
2,2,97657,97641,110736,9647,90664,7
5,4,3953,3953,135353,61844,162501,3
5,1,31920,31914,131206,42785,120802,7
2,1,97947,97931,151087,39981,102814,9
2,1,101459,101443,36250,118977,48679,5
2,4,99004,98988,29980,122599,130131,10
4,3,64632,64619,22111,51796,138347,7
2,1,87892,87878,5867,132529,38287,6
4,1,70131,70117,33922,86795,18307,7
3,3,155825,155801,89956,73065,146593,7
4,3,74660,74646,19111,114055,13819,4
4,4,48937,48929,146666,3088,40177,9
5,3,24595,24591,18135,128547,25922,4
1,3,115129,115111,91051,33417,145938,7
5,2,25657,25653,66326,103179,3667,6
5,1,36387,36379,94604,37523,100586,4
5,4,18655,18652,156428,13310,89195,4
5,3,23581,23577,97029,58654,107579,9
4,4,46059,46051,3877,155769,97143,4
3,1,136939,136919,113737,29711,18429,7
3,4,155578,155554,116510,31566,162535,3
3,3,148328,148307,5884,106807,140700,3
2,1,103742,103726,141384,48363,110148,1
3,1,151038,151017,78770,157580,35887,4
4,2,52657,52649,129453,87397,7180,4
5,1,30630,30624,107763,37755,105020,10
5,2,607,607,44061,129241,8541,7
5,2,13617,13616,105419,157417,68966,3
3,3,147304,147283,148498,28273,78241,10
1,3,107755,107737,10372,155000,76252,4
4,2,45374,45366,116201,112914,38996,10
5,4,4218,4218,144507,26965,158948,3
5,2,25536,25532,63866,110721,40006,6
5,3,15131,15129,112867,23271,61878,9
2,3,89234,89220,131406,91299,113735,4
3,1,139283,139263,8851,87072,1376,10
5,4,6931,6931,113878,49867,127962,9
5,3,14932,14930,114579,27392,72821,9
3,4,137294,137274,122066,49952,148094,1
3,3,137046,137026,90306,34939,142185,7
4,1,74544,74530,71108,115171,114776,4
4,2,56547,56536,70476,141062,76968,4
4,4,73650,73636,92747,32293,115832,9
4,1,65683,65670,76605,160643,88982,4
3,3,156021,155997,95856,1543,156958,7
2,1,103014,102998,120833,90279,43396,3
3,1,142061,142041,45528,20148,1462,3
1,4,110313,110295,5785,153538,92420,4
3,4,153126,153103,160347,45537,59451,4
3,2,151078,151057,56767,134713,78237,4
3,4,159684,159659,162068,31145,44355,4
2,3,91649,91635,85659,62532,129304,7
4,2,68157,68144,116503,120855,40562,3
3,1,157067,157043,72482,144346,53268,4
4,1,72907,72893,41421,85916,47462,3
5,3,32533,32527,94712,42799,104732,9
1,1,116490,116472,63024,115849,108351,10
2,4,79773,79759,82111,66157,152752,7
4,2,57015,57004,63349,101012,16789,6
3,1,144610,144590,71287,158070,115731,4
4,4,54168,54160,161203,40755,45842,4
3,1,155723,155699,106604,35121,77180,7
3,3,153216,153193,150668,47509,22102,4
4,1,58877,58866,65162,40778,106528,4
1,3,126202,126182,118607,17740,104729,9
1,1,119422,119404,114960,4250,84014,4
4,2,62273,62262,107317,122346,6062,4
2,3,76816,76802,148256,18067,67378,4
2,3,103957,103941,121129,55277,96206,9
3,1,160800,160775,60960,130780,86953,4
4,4,69486,69472,46966,92170,159983,3
5,4,2695,2695,119278,44663,155796,3
1,2,126754,126734,127440,139285,71992,2
2,2,85465,85451,138660,126237,37900,10
4,2,47368,47360,86157,22078,70495,4
5,2,41900,41892,73116,122945,57181,4
5,3,11108,11107,135472,34347,65672,10
3,2,143325,143305,112484,52158,109607,7
2,1,84063,84049,75134,156754,92827,4
2,3,76274,76260,95825,150147,136589,7
5,2,25653,25649,58062,105493,6373,6
2,1,94909,94894,94158,10223,94447,4
3,4,154510,154487,43572,105054,154045,3
5,1,39496,39488,133822,104932,69159,10
2,4,97599,97583,71520,49687,152111,7
5,3,7943,7942,20549,146503,45807,4
5,3,24962,24958,120668,143137,156819,10
3,3,164521,164496,9499,53907,104935,4
1,4,131700,131680,111439,8905,127849,9
5,1,16705,16702,42071,137663,39406,4
2,1,76341,76327,111274,149632,8019,11
5,4,14219,14218,58620,81102,143055,7
5,1,42524,42516,36709,109888,43377,3
2,3,91199,91185,128702,20885,15507,10
4,2,55363,55355,91825,52696,118460,7
3,4,139205,139185,43344,112313,37803,4
3,3,145745,145724,135724,93361,134056,3
5,3,30451,30447,152050,11940,62751,4
5,4,25781,25777,156840,159853,143540,4
5,1,25919,25915,37877,79120,45839,4
5,2,41661,41653,75406,154818,70336,5
5,4,20581,20577,52680,24307,161634,3
2,2,86595,86581,147497,9530,65439,9
5,4,5421,5421,82007,102858,160046,3
5,2,29862,29858,93093,5569,85550,3
3,2,156825,156801,112407,104191,62598,3
3,1,157786,157762,20164,88843,45429,6
5,2,9479,9478,69779,122807,22260,8
3,3,140547,140527,153235,48795,26233,4
5,4,1649,1649,163540,588,118653,4
1,3,107706,107688,8976,156772,88221,4
3,3,139922,139902,3805,46163,105246,7
3,2,164232,164207,11344,80052,27950,5
3,3,163114,163089,115754,44010,111803,9
5,1,26665,26661,119691,127976,11036,7
3,2,145467,145447,1098,71515,70601,4
4,3,61648,61637,75549,16009,128353,7
4,3,62573,62560,100422,107017,136015,3
5,3,9651,9650,74569,149974,119697,7
4,2,44155,44147,89559,111589,94131,7
5,1,43323,43315,33590,8976,24784,10
1,2,130659,130639,94198,134527,40473,3
4,4,69977,69963,11837,81239,149576,7
2,2,84155,84141,57648,131725,83292,4
5,2,18194,18191,86150,123893,5323,3
5,4,24981,24977,2369,163338,57180,10
2,1,82781,82767,43303,39635,49166,7
5,1,24304,24300,78622,131453,45959,5
3,1,139979,139959,32416,78072,55087,7
3,3,147526,147505,44306,88260,141819,3
2,1,88590,88576,31894,59007,12560,8
2,3,99161,99145,45383,18283,22511,6
5,3,11235,11234,121213,14857,143678,3
2,2,89218,89204,107335,16977,37641,4
2,1,93581,93566,3207,146460,16467,6
4,2,71047,71033,142622,126056,94885,10
3,1,164161,164136,24692,25016,13100,3
4,2,69392,69378,45323,70740,16131,10
3,1,154846,154822,113040,10949,82534,4
2,1,96494,96479,135470,40298,104981,4
2,1,87788,87774,5462,134058,28313,6
5,2,18458,18455,108702,12027,68994,1
5,1,4414,4414,142701,8068,55000,4
2,2,95086,95071,94146,21317,53206,4
4,4,46940,46932,158398,44030,17340,4
5,1,34747,34741,40327,56810,19518,3
5,1,42681,42673,32066,45561,19750,3
4,3,61756,61745,77475,34883,136001,7
3,4,154475,154452,30591,113085,154610,3
3,2,157281,157257,47515,148456,76137,4
2,3,79101,79087,156989,16656,28236,4
3,4,163555,163530,8745,146037,52817,4
5,2,7374,7373,143236,62662,118919,3
4,1,70567,70553,106445,71542,127659,4
5,3,27941,27937,155767,31294,77717,4
3,3,163227,163202,119731,59228,36622,2
4,3,55100,55092,79290,12119,130413,7
1,2,124410,124392,68955,154724,119756,4
5,2,34430,34424,150170,140826,12731,4
3,3,139343,139323,23379,104990,133987,10
4,2,70257,70243,36232,52811,68353,7
2,2,99146,99130,57402,25367,73974,6
1,4,118408,118390,160740,11285,88371,4
3,2,150838,150817,59343,134629,98882,4
5,1,13327,13326,15178,1086,162659,10
4,4,64047,64034,13386,70670,163185,3
5,3,4738,4738,158414,14697,51059,4
4,3,47787,47779,36558,40785,149974,3
2,3,88104,88090,1000,289,160218,4
3,1,140832,140812,120473,43253,131908,4
3,2,159801,159776,145915,111998,121654,4
5,4,1214,1214,8019,60696,161775,3
2,1,92343,92328,155097,30491,73780,9
1,3,131385,131365,133765,4852,79211,9
2,4,88187,88173,33450,133811,140626,10
2,1,91572,91558,97385,21647,113431,7
3,4,143769,143749,102146,45505,152703,7
4,2,61921,61910,105434,124919,575,4
1,1,120381,120363,118644,72677,9311,7
2,2,100163,100147,59576,93177,4359,7
4,2,73465,73451,146670,80669,148552,7
1,1,130580,130560,109470,63918,43982,10
3,2,141116,141096,102895,91697,3283,3
1,2,132913,132893,6468,98525,26925,4
4,3,50999,50991,37814,99021,127152,10
4,4,68405,68392,10522,152633,72696,4
1,4,113239,113221,4307,156514,57388,5
1,2,127200,127180,75197,162842,46347,4
2,1,102689,102673,116830,58318,90399,4
3,2,155140,155116,138131,4993,102908,4
3,1,161432,161407,84607,79342,84434,4
1,2,115851,115833,140095,101453,95441,2
1,4,118616,118598,64408,134216,153349,3
5,1,11317,11316,46162,117201,67219,3
5,3,40116,40108,64931,54984,130034,7
4,1,73158,73144,112133,82432,23491,7
5,2,38561,38553,98104,14532,78815,3
5,3,29425,29421,32454,137153,90163,10
5,2,31266,31260,102772,72439,80561,3
2,1,80755,80741,126149,107293,32585,2
2,2,100747,100731,48277,15720,62718,3
1,3,106426,106409,104576,127289,126813,11
1,1,105929,105912,97990,65980,315,8
4,3,64196,64183,161976,97406,151495,3
1,2,111022,111004,39712,125215,36063,6
4,4,64851,64838,93281,91886,161862,3
3,3,145351,145331,39873,64889,11670,4
1,1,128147,128127,71833,74180,29759,3
2,1,78552,78538,87068,73320,22562,3
4,2,62168,62157,106438,121347,2977,4
4,1,51585,51577,80305,100464,61084,8
3,1,159539,159514,117262,71198,105968,4
1,2,106974,106957,126445,55386,73694,4
4,2,56241,56230,74495,142037,92085,4
5,1,40362,40354,113824,46859,33939,7
5,1,24103,24099,92515,116264,15014,2
2,2,81127,81113,61798,127812,61369,4
2,1,84752,84738,84271,75377,42809,3
2,1,89410,89396,88183,14980,107625,4
1,3,114651,114633,145039,105935,161426,3
1,1,120257,120239,123881,57478,2968,7
